식재료명(통합),제공 기준량,단위,평균 에너지(kcal)
고둥류_피뿔고둥_전체_생것,100,g,111
검은비늘버섯_생것,100,g,13
마타리_생것,100,g,45
감_단감+태추_생것,100,g,52
가물치_육_생것,100,g,93
표고버섯_재배_생것,100,g,18
페퍼민트_생것,100,g,70
바지락_전체_생것,100,g,101
잉어_육_생것,100,g,85
삼백초_말린것,100,g,301
가자미류_기름가자미_육_생것(반건조),100,g,98
취나물_참취_말린것을 삶은것,100,g,55
공심채_생것,100,g,17
멥쌀밥_새일미_현미,100,g,172
명태_육_반정도 말린것,100,g,290
소 부산물_신장_삶은것,100,g,158
꼬막류_꼬막_전체_생것_율촌,100,g,97
가지_데친것,100,g,19
모유,100,g,61
뽕나무버섯_재배_줄기_말린것,100,g,182
갈색 거저리_유충_생것,100,g,195
살구_말린것,100,g,258
쥐눈이콩(검정소립콩)_볶은것,100,g,447
아마씨_볶은것,100,g,540
미나리_물미나리_찐것,100,g,19
멥쌀_미품_현미_생것,100,g,348
호두_볶은것,100,g,713
사프란_말린것,100,g,310
참나물_재배_생것,100,g,20
치자꽃_생것,100,g,66
성게류_보라성게_알_생것,100,g,192
배추우거지_삶은것,100,g,18
게류_꽃게_육_젓갈,100,g,63
멥쌀_쌀눈_볶은것,100,g,468
히카마(얌빈)_삶은것,100,g,45
돼지고기_사태_삶은것,100,g,203
모링가_잎_생것,100,g,66
멥쌀_흑진주벼_현미_생것,100,g,369
달팽이_생것,100,g,90
톳_줄기_말린것,100,g,81
미역류_곰피_줄기_분말화한것,100,g,143
삼치류_삼치_육_젓갈,100,g,112
기장_도정_생것,100,g,360
소고기_한우(1++등급)_설도_생것,100,g,217
멥쌀_백미_생것,100,g,366
콩나물_분말화한것,100,g,409
설탕_황설탕,100,g,386
시금치_하우스_생것,100,g,27
연어류_연어_육_훈제,100,g,235
치커리_적치콘_생것,100,g,13
호박_늙은호박_삶은것,100,g,24
큰논우렁이_육_생것_창원,100,g,71
대구류_적색육_생것,100,g,74
소고기_한우(1등급)_양지(양지머리)_생것,100,g,198
소고기_한우(1등급)_갈비(참갈비)_생것,100,g,404
닭고기_성계_생것,100,g,180
사과_생것,100,g,57
귤_하례조생+노지_생것,100,g,37
소고기_한우(2등급)_갈비(꽃갈비)_생것,100,g,313
냉이_생것,100,g,37
꼴뚜기류_참꼴뚜기_육_젓갈,100,g,88
시금치_데친것,100,g,34
빙어류_빙어_육_장류를 넣고 가열하여 조린것,100,g,290
더덕_뿌리_분말화한것,100,g,339
오렴자(카람볼라)_생것,100,g,30
돼지고기_뒷다리_생것,100,g,135
소라류_참소라_내장_생것,100,g,86
단무지_뿌리_소금에 절인것,100,g,12
무화과_봉래시_생것,100,g,45
소고기_한우(3등급)_앞다리(꾸리살)_생것,100,g,102
문어류_문어_육_생것,100,g,76
녹차_잎_말린것,100,g,388
소고기_한우(1등급)_갈비(제비추리)_생것,100,g,178
망둑어류_문절망둑_육_생것,100,g,90
파드득나물(삼엽채)_생것,100,g,25
잎새버섯_데친것,100,g,16
소고기_한우(1+등급)_등심_생것,100,g,333
도다리류_강도다리_육_생것,100,g,118
조_메조_도정_찐것,100,g,115
국수_칼국수_생것,100,g,303
송어류_송어_육_찐것,100,g,155
찹쌀밥_보람찰_현미,100,g,181
애꼬치_육_구운것,100,g,149
소라류_참소라_내장_생것_거문도,100,g,91
우뭇가사리류_우뭇가사리_줄기_한천(우무를 말린것),100,g,154
비타민채(다채)_어린잎_생것,100,g,15
탱자_생것,100,g,84
귤_착즙,100,g,35
비름_데친것,100,g,27
머루_머스켓베일리에이_생것,100,g,76
가리비류_국자가리비_육_생것,100,g,61
연어류_연어_전체_찐것,100,g,195
홍합류_참담치(홍합)_육_생것,100,g,83
수세미_ 수액,100,ml,4
자두_ 대석_ 생것,100,g,32
보이차,100,g,0
두리안_생것,100,g,140
다시마류_용다시마_전체_말린것_해남_7월,100,g,158
산딸기_생것,100,g,55
수수_찰수수+소담찰_도정_생것,100,g,376
소고기_한우(1++등급)_갈비(토시살)_생것,100,g,273
셀러리_데친것,100,g,17
케일_꽃케일_생것,100,g,33
표고버섯_갓_생것,100,g,26
소고기_한우(2등급)_갈비(참갈비)_생것,100,g,291
돼지 부산물_비장_생것,100,g,85
삼나물_말린것,100,g,293
소 부산물_허파_생것,100,g,92
소 부산물_양(위)_생것,100,g,61
보리_찰보리_도정_생것,100,g,346
콩(대두)_노란콩_가루를 볶은것,100,g,430
닭고기_토종_가슴,100,g,106
귤_온주밀감_생것,100,g,39
멥쌀밥_일품벼_백미,100,g,156
잠두_생것,100,g,341
표고버섯_갓_말린것,100,g,183
멥쌀밥_칠분도미,100,g,160
콩(대두)_갈색콩(밤콩)_말린것,100,g,410
파래류_파래_전체_말린것,100,g,165
양송이버섯_갈색양송이_데친것,100,g,14
닭 부산물_모래주머니_구운것(오븐),100,g,132
완두_생것,100,g,114
돼지고기_목심(목심살)_생것,100,g,227
무화과_승정도후인_말린것,100,g,254
바질_잎_생것,100,g,32
김류_모무늬돌김_전체_말린것_해남_2월,100,g,345
다랑어류_황다랑어_육_생것,100,g,104
새우류_중하_육_젓갈,100,g,98
귤_레드향_생것,100,g,48
느타리버섯_말린것,100,g,189
귀리_쌀귀리+대양_도정_생것,100,g,386
파_쪽파_삶은것,100,g,31
고둥류_갈색띠매물고둥_육_구운것,100,g,135
옥수수_찰옥수수_생것,100,g,141
닭고기_아랫다리_생것,100,g,154
참나물_야생_말린것,100,g,309
어수리_잎_생것,100,g,45
문어류_문어_머리_생것,100,g,78
꿩고기_암꿩_생것,100,g,120
어린양고기_수입산(미국산)_어깨_구운것(오븐),100,g,276
기러기알_삶은것,100,g,212
옥수수_광평옥_말린것,100,g,358
다래_생것,100,g,67
멥쌀_발아현미_현미_생것,100,g,384
쑥_사자발쑥_생것,100,g,56
참반디_말린것,100,g,288
더덕_순_생것,100,g,47
오징어류_오징어_육_조미하여 구운것,100,g,333
파래류_납작파래_줄기_생것,100,g,17
달걀_난백_삶은것,100,g,51
아로니아_네로_생것,100,g,60
프로폴리스,100,g,642
피망_빨간색_생것,100,g,28
닭고기_날개_구운것(오븐),100,g,244
참깨_흰깨_말린것,100,g,556
잣_볶은것,100,g,669
멥쌀밥_흑진미_현미,100,g,174
유채_잎_생것,100,g,30
매실_생것,100,g,41
고리매_전체_생것_3월,100,g,14
타임_ 가루,100,g,364
포도_흑구슬_생것,100,g,62
파스타_스파게티_말린것을 삶은것,100,g,129
고춧잎_잎_데친것,100,g,51
오징어류_오징어_육_볶은것,100,g,278
자두_후무사_생것,100,g,44
연어류_연어_전체_생것_수입(프랑스),100,g,166
총각무_잎_생것,100,g,23
다시마류_다시마_줄기_생것,100,g,12
양파_생것,100,g,29
연어류_홍연어_육_생것,100,g,141
기름종개류_미꾸라지_전체_생것,100,g,138
머위_데친것,100,g,25
찹쌀밥_보람찰_백미,100,g,155
우뭇가사리류_우뭇가사리_줄기_생것_6월,100,g,52
어린양고기_수입산(미국산)_어깨_생것,100,g,264
지누아릿과류_개도박_전체_생것_3월,100,g,16
소고기_한우(1등급)_설도(삼각살)_생것,100,g,225
소고기_한우(1+등급)_설도(보섭살)_생것,100,g,179
알로에_ 과육_ 생것,100,g,3
성게류_보라성게_알_젓갈,100,g,159
도토리묵,100,g,47
호박_애호박_데친것,100,g,21
민트_말린것,100,g,294
소고기_한우(1++등급)_안심(안심살)_생것,100,g,268
민태_육_생것,100,g,88
새조개_육_말린것,100,g,325
송아지 부산물_수입산(미국산)_허파_삶은것,100,g,104
팥_녹색팥+연두채_말린것,100,g,341
배추_봄동_생것,100,g,23
연어류_은연어_육_생것,100,g,106
가자미류_용가자미_육_생것,100,g,86
오징어류_오징어_전체_구운것,100,g,81
콜라비_생것,100,g,22
보리밥_누리찰,100,g,142
브라질너트_말린것,100,g,659
마가목 열매_생것,100,g,115
고춧잎_잎_생것,100,g,45
꼼치류_분홍꼼치_육_생것,100,g,74
넙치류_넙치(광어)_전체_말린것_수입(그린란드),100,g,239
소라류_소라_육_통조림,100,g,137
소고기_한우(2등급)_앞다리(꾸리살)_생것,100,g,163
상황버섯_말린것,100,g,179
다슬기류_다슬기_전체_생것,100,g,66
미역류_미역_줄기_분말화한것,100,g,149
토란대_줄기_말린것,100,g,261
갓_돌산갓_찐것,100,g,20
소고기_한우(2등급)_앞다리(앞다리살)_생것,100,g,164
돼지 부산물_허파_삶은것,100,g,99
전분_감자_분말화한것,100,g,334
도라지_뿌리_생것,100,g,56
코코넛유,100,g,918
고구마_줄기(껍질 포함)_삶아서 말린것을 삶은것,100,g,29
김류_김_전체_말린것,100,g,173
명태_육_구운것,100,g,123
감_연시_생것,100,g,69
부지갱이(섬쑥부쟁이)_삶아서 말린것,100,g,296
소고기_한우(3등급)_우둔(홍두깨살)_생것,100,g,104
돼지 부산물_위(오소리감투)_생것,100,g,112
미나리_농축,100,g,120
소고기_한우(1등급)_앞다리(부채덮개살)_생것,100,g,150
아위버섯_데친것,100,g,27
토마토_대저_생것,100,g,23
소라류_참소라_육_생것_거문도,100,g,103
고추_시레나_연두색_생것,100,g,19
소고기_한우_등심_생것,100,g,313
팥_붉은팥+아라리_말린것,100,g,338
쏘가리_육_구운것,100,g,139
표고버섯_대_생것,100,g,39
북어_육_말린것,100,g,339
소고기_수입산(미국산)_사태_끓인것,100,g,201
가재류_바닷가재_육_찐것,100,g,91
토마토_방울토마토_생것,100,g,25
된장_ 재래,100,g,142
복류_흰점복_육_생것,100,g,72
어수리_생것,100,g,31
두릅_참두릅_잎_데친것,100,g,41
고추냉이_뿌리_생것,100,g,103
소고기_한우(1+등급)_양지(양지머리)_생것,100,g,197
무_조선무_뿌리_생것,100,g,21
브로콜리_싹_생것,100,g,31
가시오가피_순_생것,100,g,76
국수_중면_말린것을 삶은것,100,g,120
영아자_데친것,100,g,36
아주까리_순_말린것,100,g,287
송이버섯_데친것,100,g,22
연어기름,100,g,902
산초_ 가루,100,g,349
감자_대지_찐것,100,g,80
딸기_개량종_말린것,100,g,306
꼬치고기_육_구운것,100,g,152
선인장_저단선인장_열매_생것,100,g,91
송이버섯_생것,100,g,21
소고기_한우(1+등급)_갈비(토시살)_생것,100,g,269
붉은맛(큰죽합)_육_말린것,100,g,387
싸리버섯_말린것,100,g,179
퉁퉁마디환(함초환),100,g,262
해파리류_해파리_육_생것,100,g,6
취나물_미역취_삶아서 말린것,100,g,271
볼락류_장문볼락_육_생것,100,g,100
송어류_무지개송어_육_생것,100,g,146
콩(대두)_서리태_삶은것,100,g,196
곤약(구약나물)_판형_생것,100,g,6
아스파라거스_생것,100,g,17
돔류_옥돔_육_삶은것,100,g,125
유채_동채_데친것,100,g,31
큰느타리버섯(새송이버섯)_분말화한것,100,g,184
달걀_생것,100,g,136
멥쌀_금강1호_백미_생것,100,g,369
연어류_연어_육_조미한것을 구운것,100,g,196
곤달비_생것,100,g,32
꼬막류_피조개_육_말린것,100,g,425
멥쌀_오대_현미_생것,100,g,363
토마토_흑토마토_데친것,100,g,19
무순_싹_생것,100,g,20
섬초롱_데친것,100,g,34
복숭아_천도_생것,100,g,39
소고기_한우(1+등급)_양지_생것,100,g,273
소고기_한우(1등급)_설도(설깃살)_생것,100,g,204
돼지고기_목심(목심살)_삶은것,100,g,282
덕대_육_구운것,100,g,173
소라류_참소라_전체_생것,100,g,93
콩(대두)_노란콩_삶은것,100,g,201
소고기_한우(1++등급)_채끝(채끝살)_생것,100,g,360
참나물_야생_생것,100,g,39
포도_홍이슬_생것,100,g,53
소금_천일염_소금꽃,100,g,21
청각_줄기_생것_5월,100,g,8
브로콜리_데친것,100,g,28
전복류_전복_내장_생것,100,g,167
오이_취청_생것,100,g,13
토란_삶은것,100,g,73
바나나_생것,100,g,77
동충하초_누에동충하초_말린것,100,g,133
파인애플_생것,100,g,53
소고기_한우(1등급)_등심(아래등심살)_생것,100,g,263
양고기_외국산_다리_생것,100,g,205
동죽_육_생것,100,g,69
쥐치류_말쥐치_육_생것,100,g,161
보리_껍질 포함_분말화한것,100,g,364
소 부산물_간_생것,100,g,135
바셀라_생것,100,g,11
닭고기_가슴(껍질 제거)_구운것(팬),100,g,164
홑파래류_참홑파래_줄기_말린것,100,g,146
근대_데친것,100,g,20
돼지고기_등심_생것,100,g,142
엘더베리_생것,100,g,73
매실_천매_생것,100,g,37
대추야자_말린것,100,g,281
소고기_한우(1+등급)_안심(안심살)_생것,100,g,210
렌즈콩(렌틸콩)_수입산(인도산)_갈색_말린것,100,g,359
돔류_돌돔_육_생것,100,g,152
배추_생것,100,g,15
전갱이류_전갱이_육_생것,100,g,148
경수채_어린잎_생것,100,g,26
